"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/05","12:18","0.459","-","0.576"
"2023/12/05","12:24","0.451","-","0.573"
"2023/12/05","12:30","0.442","-","0.581"
"2023/12/05","12:36","0.434","-","0.553"
"2023/12/05","12:42","0.425","-","0.538"
"2023/12/05","12:48","0.416","-","0.516"
"2023/12/05","12:54","0.407","-","0.525"
"2023/12/05","13:00","0.398","-","0.496"
"2023/12/05","13:06","0.389","-","0.505"
"2023/12/05","13:12","0.38","-","0.465"
"2023/12/05","13:18","0.371","-","0.447"
"2023/12/05","13:24","0.362","-","0.462"
"2023/12/05","13:30","0.353","-","0.453"
"2023/12/05","13:36","0.344","-","0.477"
"2023/12/05","13:42","0.335","-","0.427"
"2023/12/05","13:48","0.326","-","0.445"
"2023/12/05","13:54","0.318","-","0.41"
"2023/12/05","14:00","0.309","-","0.448"
"2023/12/05","14:06","0.301","-","0.423"
"2023/12/05","14:12","0.293","-","0.41"
"2023/12/05","14:18","0.285","-","0.379"
"2023/12/05","14:24","0.277","-","0.424"
"2023/12/05","14:30","0.269","-","0.402"
"2023/12/05","14:36","0.262","-","0.364"
"2023/12/05","14:42","0.255","-","0.39"
"2023/12/05","14:48","0.248","-","0.383"
"2023/12/05","14:54","0.241","-","0.375"
"2023/12/05","15:00","0.235","-","0.341"
"2023/12/05","15:06","0.229","-","0.335"
"2023/12/05","15:12","0.223","-","0.347"
"2023/12/05","15:18","0.218","-","0.329"
"2023/12/05","15:24","0.213","-","0.348"
"2023/12/05","15:30","0.208","-","0.327"
"2023/12/05","15:36","0.204","-","0.311"
"2023/12/05","15:42","0.2","-","0.325"
"2023/12/05","15:48","0.196","-","0.301"
"2023/12/05","15:54","0.193","-","0.286"
"2023/12/05","16:00","0.19","-","0.304"
"2023/12/05","16:06","0.188","-","0.298"
"2023/12/05","16:12","0.186","-","0.324"
"2023/12/05","16:18","0.184","-","0.317"
"2023/12/05","16:24","0.183","-","0.32"
